,text,source,is_phishing
0,"Subject: ena offsite
my suggestions :
1 ) mountains ( jackson hole , aspen , banff ) are a nice respite from the houston summer . san diego ( or the baja peninsula ) are also nice - can combine golf , fishing and all kinds of outdoor activities . more exotic locales could include dominican republic , cabo san lucas ( 5 championship courses in vicinity ) , virgin islands , bermuda . i ' m not a big fan of las vegas ( although there is some good golf in the area ) .
2 ) focus should be on ( i ) improving communication across business units ( i ' m surprised by the number of people on this e - mail that i don ' t know ( well ) ) - perhaps presentations by each business unit reviewing 2000 and lh 2001 , ( ii ) identifying opportunities to profit from volatility in commodity and financial markets , ( iii ) create a "" road map "" strategic plan for the balance of 2001 and full year 2002 .
3 ) i love mountain climbing ( lived in switzerland for four years ) and am happy to organize beginner course and / or expedition with trained mountaineers . great team building therapy . otherwise , i ' m always up for golf , deep sea fishing , go kart racing , kayaking , skeet shooting , paint ball .
4 ) occasional off - sites are a great way to build / maintain morale and make sure everyone ' s on the same page regarding strategy / direction .
call if you want to discuss in more detail . i ' m serious about organizing mountain climbing .
mlm
- - - - - original message - - - - -
from : lavorato , john
sent : 02 may 2001 16 : 29
to : allen , phillip ; arnold , john ; arora , harry ; baughman , edward d . ; beck , sally ; belden , tim ; calger , christopher ; collonges , remi ; colwell , wes ; davies , derek ; davis , mark dana ; deffner , joseph ; devries , glen ; devries , paul ; duran , w david ; foster , chris h . ; gilbert - smith , doug ; gonzalez , orlando ; haedicke , mark ; herndon , rogers ; jacoby , ben ; josey , scott ; kishkill , joe ; kitagawa , kyle ; lagrasta , fred ; lavorato , john ; ledain , eric ; luce , laura ; martin , thomas a . ; mckay , jonathan ; miller , don ; miller , michael l . ; milnthorp , rob ; mrha , jean ; neal , scott ; oxley , david ; parquet , david ; perlman , beth ; presto , kevin ; redmond , brian ; shively , hunter s . ; sturm , fletcher ; swerzbin , mike ; thompson , c . john ; tricoli , carl ; tycholiz , barry ; vickers , frank ; wiggs , brett ; wolfe , greg ; yzaguirre , max ; zufferli , john
cc : kitchen , louise
subject :
hello everyone .
in december we decided to kill our planned offsite due to market volatility . louise and i would like to get everyone together offsite , probably in late june ( once louise is back from holiday ( just kidding ) ) . i think it ' s time to go have a little fun with the group driving enron ' s success .
i would like suggestions as to :
1 ) where to go .
2 ) what should be the focus of the business meetings .
3 ) should we have business meetings or should we do something else ( ie . climb a mountain ) ? i ' m not a strong bid on climbing a mountain .
4 ) and any other ideas you have .
in addition i would like to start having staff meetings about once a month . the first one will be friday may 11 th at 2 : 30 p . m . please add this to your schedule . i have invited everyone who has p / l responsibility . portland , calgary and toronto will have to be on video or phone conference .
regards
john",ENRON,0
1,"Subject: allegheny energy s - 3
i received word from mike morrell at allegheny today that no sec review of the s - 3 will be required . obviously , one less potential delay to have to deal with .
thanks ,
don",ENRON,0
2,"The University of Washington System is sharing funds for all students during this pandemic, please update your
financial aid status to claim yours.
Login.uw.edu/covid-19-aid-update
For instructions on Accepting Your Financial Aid on https://login.uw.edu/login/login./.
Regards,
Assistant Professor
University of Washington",https://ciso.uw.edu/education/more-phishing-examples/,1
3,"Dear user@stanford.edu,

A private document has been sent to you by the Human Resources Department.

Click https://login.stanford.edu to Login to view the document. Thank you!

Stanford University HR.
©2019 Stanford University",https://uit.stanford.edu/phishing,1
4,"Subject: james valverde - interview schedule
attached you will find the interview packet for the above - referenced person .
the interview will happen thursday , february 1 , 2001 . please print all
three documents for your hard copies . if you have any questions , or
conflicts of schedule , please do not hesitate to contact me .
sasha divelbiss
58714",ENRON,0
5,"New Coronavirus disease (COVID-19) Message
Click Here To READ
CS Stanford.",https://uit.stanford.edu/phishing,1
6,"Hi user@stanford.edu,
Due to a se rv.er error on your e-mail
, (user@stanford.edu) (5) in coming me ss ages were d.ela.yed..
Log on to your port al to reco ver your dela.ye d messages
Re.co.ver
De.lay_ed
Messages
20.20 Message Center",https://uit.stanford.edu/phishing,1
7,"Your e-mail access has been suspended for your security.

To regain your access Click here

Stanford University.",https://uit.stanford.edu/phishing,1
8,"WEBMAIL UPGRADE
Attention!!! Lehigh Email User,
This message requires that you verify your Webmail immediately. Our email lab discovered You
are currently using 2.5GB space instead of 2GB. You will be unable to receive new email, loss
important information in your mailbox or cause limited access to it if you don't activate here.
To complete activation process, visit upgrade webpage below:
http://lehighedu.webs.com/
Thanks
Admin Help Desk.
",https://lts.lehigh.edu/phishing/examples,1
9,"Subject: re : enron weather research
good afternoon mike :
i certainly am interested in determining if there may be a potential fit
there at enron . i am very enthusiastic to apply my finance and meteorology
backgrounds in a market - based environment that is driven to achieve
unprecedented efficiencies . attached are two documents : 1 ) a
business - focused resume , and 2 ) an abbreviated meteorology cv .
graduate meteorology coursework included advanced atmospheric dynamics i and
ii , advanced physical meteorology , boundary layer modeling , numerical
modeling , research methods in meteorology , and turbulence .
i will look forward to hearing from you .
sincerely ,
greg hunt
- - - - - original message - - - - -
from :
to :
cc : ; ;
sent : friday , april 27 , 2001 9 : 12 am
subject : enron weather research
>
> greg ,
>
> hello , and by way of introduction , we were forwarded your e - mail address
by
> heather thorne .
>
> i understand you have an m . s . in meteorology as well as an m . b . a . in
> finance , and have done some research at livermore .
>
> i ' d be happy to learn more about your activities , and , if you are
> interested , to see if there may be a potential fit here at enron .
>
> can you e - mail your resume with a description of your coursework and
> research activities ?
>
> looking forward to hearing from you ,
>
> mike roberts
> vice president - research
>
- greg hunt _ resume _ 4 - 27 - 01 . doc
- greg hunt _ cv _ meteorology _ 4 - 27 - 01 . doc",ENRON,0
